Site,Location,Depth,Vial_num,Sample_ID,Sample_Date,Inc_month,Composite_num,Weight_mg,Weight_g,Volume_lake_water_L,NO3_spike_µg_L,NH3_spike_µg_L,Analyte,Spike_µg_L,Type,Goal_incubation_hrs,Incubation_start_time,Incubation_end_time,Actual_incubation_hrs,bin,Notes,NO2_NO3_mgNL,NH3_mgNL,Conc_mgNL,Flag,OM_g,OM_%,Percent_water,Sample_dryweight_g,AFDM_g
BW0.5m,BW,0.5,11,Sed_NA_11,2023-07-21,July,2,2060,2.06,0.025,800,,NO3,800,sediment,6,8:17,14:29,6:12,1,,0.83,,0.83,N,0.53,0.016,0.264,1.51718727,0.02408983809
BW0.5m,BW,0.5,12,Sed_NA_12,2023-07-21,July,3,1980,1.98,0.025,800,,NO3,800,sediment,6,8:17,14:29,6:12,1,,0.861,,0.861,N,0.53,0.016,0.264,1.458267376,0.0231543104
BW0.5m,BW,0.5,13,Sed_NA_13,2023-07-21,July,1,2080,2.08,0.025,1600,,NO3,1600,sediment,6,8:19,14:31,6:12,2,,1.712,,1.712,N,0.53,0.016,0.264,1.531917244,0.02432372002
BW0.5m,BW,0.5,14,Sed_NA_14,2023-07-21,July,2,1980,1.98,0.025,1600,,NO3,1600,sediment,6,8:19,14:31,6:12,2,,1.647,,1.647,N,0.53,0.016,0.264,1.458267376,0.0231543104
BW0.5m,BW,0.5,15,Sed_NA_15,2023-07-21,July,3,1990,1.99,0.025,1600,,NO3,1600,sediment,6,8:19,14:31,6:12,2,,1.607,,1.607,N,0.53,0.016,0.264,1.465632363,0.02327125136
BW0.5m,BW,0.5,16,Sed_NA_16,2023-07-21,July,1,2010,2.01,0.025,2000,,NO3,2000,sediment,6,8:22,14:33,6:11,2,,2.038,,2.038,N,0.53,0.016,0.264,1.480362337,0.02350513328
BW0.5m,BW,0.5,17,Sed_NA_17,2023-07-21,July,2,1970,1.97,0.025,2000,,NO3,2000,sediment,6,8:22,14:33,6:11,2,,2.063,,2.063,N,0.53,0.016,0.264,1.45090239,0.02303736944
BW0.5m,BW,0.5,18,Sed_NA_18,2023-07-21,July,3,2050,2.05,0.025,2000,,NO3,2000,sediment,6,8:22,14:33,6:11,2,,2.058,,2.058,N,0.53,0.016,0.264,1.509822284,0.02397289713
BW_3m,BW,3,19,Sed_NA_19,2023-07-21,July,1,2030,2.03,0.025,0,,NO3,0,sediment,6,8:08,14:10,6:02,1,,0.024,,0.024,N,0.460,0.022,0.331,1.35807,0.02953545171
BW_3m,BW,3,20,Sed_NA_20,2023-07-21,July,2,2090,2.09,0.025,0,,NO3,0,sediment,6,8:08,14:10,6:02,1,,0.027,,0.027,N,0.460,0.022,0.331,1.39821,0.03040842073
BW_3m,BW,3,21,Sed_NA_21,2023-07-21,July,3,2020,2.02,0.025,0,,NO3,0,sediment,6,8:08,14:10,6:02,1,,0.021,,0.021,N,0.460,0.022,0.331,1.35138,0.02938995688
BW_3m,BW,3,22,Sed_NA_22,2023-07-21,July,1,2070,2.07,0.025,100,,NO3,100,sediment,6,8:11,14:18,6:07,1,,0.146,,0.146,N,0.460,0.022,0.331,1.38483,0.03011743106
BW_3m,BW,3,23,Sed_NA_23,2023-07-21,July,2,1940,1.94,0.025,100,,NO3,100,sediment,6,8:11,14:18,6:07,1,,0.121,,0.121,N,0.460,0.022,0.331,1.29786,0.02822599819
BW_3m,BW,3,24,Sed_NA_24,2023-07-21,July,3,1950,1.95,0.025,100,,NO3,100,sediment,6,8:11,14:18,6:07,1,,0.149,,0.149,N,0.460,0.022,0.331,1.30455,0.02837149303
BW_3m,BW,3,25,Sed_NA_25,2023-07-21,July,1,1980,1.98,0.025,200,,NO3,200,sediment,6,8:14,14:26,6:12,1,,0.244,,0.244,N,0.460,0.022,0.331,1.32462,0.02880797753
BW_3m,BW,3,26,Sed_NA_26,2023-07-21,July,2,1970,1.97,0.025,200,,NO3,200,sediment,6,8:14,14:26,6:12,1,,0.245,,0.245,N,0.460,0.022,0.331,1.31793,0.0286624827
BW_3m,BW,3,27,Sed_NA_27,2023-07-21,July,3,2060,2.06,0.025,200,,NO3,200,sediment,6,8:14,14:26,6:12,1,,0.239,,0.239,N,0.460,0.022,0.331,1.37814,0.02997193622
BW_3m,BW,3,28,Sed_NA_28,2023-07-21,July,1,2060,2.06,0.025,800,,NO3,800,sediment,6,8:17,14:29,6:12,1,,0.861,,0.861,N,0.460,0.022,0.331,1.37814,0.02997193622
BW_3m,BW,3,29,Sed_NA_29,2023-07-21,July,2,2030,2.03,0.025,800,,NO3,800,sediment,6,8:17,14:29,6:12,1,,0.89,,0.89,N,0.460,0.022,0.331,1.35807,0.02953545171
BW_3m,BW,3,30,Sed_NA_30,2023-07-21,July,3,1970,1.97,0.025,800,,NO3,800,sediment,6,8:17,14:29,6:12,1,,0.903,,0.903,N,0.460,0.022,0.331,1.31793,0.0286624827
BW_3m,BW,3,31,Sed_NA_31,2023-07-21,July,1,1940,1.94,0.025,1600,,NO3,1600,sediment,6,8:20,14:32,6:12,2,,1.686,,1.686,N,0.460,0.022,0.331,1.29786,0.02822599819
BW_3m,BW,3,32,Sed_NA_32,2023-07-21,July,2,2050,2.05,0.025,1600,,NO3,1600,sediment,6,8:20,14:32,6:12,2,,1.712,,1.712,N,0.460,0.022,0.331,1.37145,0.02982644139
BW_3m,BW,3,33,Sed_NA_33,2023-07-21,July,3,1980,1.98,0.025,1600,,NO3,1600,sediment,6,8:20,14:32,6:12,2,,1.67,,1.67,N,0.460,0.022,0.331,1.32462,0.02880797753
BW_3m,BW,3,34,Sed_NA_34,2023-07-21,July,1,2060,2.06,0.025,2000,,NO3,2000,sediment,6,8:22,14:39,6:17,2,,2.028,,2.028,N,0.460,0.022,0.331,1.37814,0.02997193622
BW_3m,BW,3,35,Sed_NA_35,2023-07-21,July,2,1990,1.99,0.025,2000,,NO3,2000,sediment,6,8:22,14:39,6:17,2,,2.061,,2.061,N,0.460,0.022,0.331,1.33131,0.02895347237
BW_3m,BW,3,36,Sed_NA_36,2023-07-21,July,3,1980,1.98,0.025,2000,,NO3,2000,sediment,6,8:22,14:39,6:17,2,,2.084,,2.084,N,0.460,0.022,0.331,1.32462,0.02880797753
SS_3m,SS,3,37,Sed_NA_37,2023-07-21,July,1,1950,1.95,0.025,0,,NO3,0,sediment,6,8:08,14:11,6:03,1,,0.013,,0.013,N,0.330,0.012,0.270,1.4235,0.01743201032
SS_3m,SS,3,38,Sed_NA_38,2023-07-21,July,2,2040,2.04,0.025,0,,NO3,0,sediment,6,8:08,14:11,6:03,1,,0.006,,0.006,N,0.330,0.012,0.270,1.4892,0.01823656464
SS_3m,SS,3,39,Sed_NA_39,2023-07-21,July,3,2030,2.03,0.025,0,,NO3,0,sediment,6,8:08,14:11,6:03,1,,0.012,,0.012,N,0.330,0.012,0.270,1.4819,0.01814716972
SS_3m,SS,3,40,Sed_NA_40,2023-07-21,July,1,2040,2.04,0.025,100,,NO3,100,sediment,6,8:12,14:21,6:09,1,,0.045,,0.045,N,0.330,0.012,0.270,1.4892,0.01823656464
SS_3m,SS,3,41,Sed_NA_41,2023-07-21,July,2,2050,2.05,0.025,100,,NO3,100,sediment,6,8:12,14:21,6:09,1,,0.042,,0.042,N,0.330,0.012,0.270,1.4965,0.01832595957
SS_3m,SS,3,42,Sed_NA_42,2023-07-21,July,3,2040,2.04,0.025,100,,NO3,100,sediment,6,8:12,14:21,6:09,1,,0.045,,0.045,N,0.330,0.012,0.270,1.4892,0.01823656464
SS_3m,SS,3,43,Sed_NA_43,2023-07-21,July,1,2010,2.01,0.025,200,,NO3,200,sediment,6,8:15,14:23,6:08,1,,0.106,,0.106,N,0.330,0.012,0.270,1.4673,0.01796837987
SS_3m,SS,3,44,Sed_NA_44,2023-07-21,July,2,1980,1.98,0.025,200,,NO3,200,sediment,6,8:15,14:23,6:08,1,,0.106,,0.106,N,0.330,0.012,0.270,1.4454,0.0177001951
SS_3m,SS,3,45,Sed_NA_45,2023-07-21,July,3,1980,1.98,0.025,200,,NO3,200,sediment,6,8:15,14:23,6:08,1,,0.104,,0.104,N,0.330,0.012,0.270,1.4454,0.0177001951
SS_3m,SS,3,46,Sed_NA_46,2023-07-21,July,1,1950,1.95,0.025,800,,NO3,800,sediment,6,8:17,14:26,6:09,1,,0.682,,0.682,N,0.330,0.012,0.270,1.4235,0.01743201032
SS_3m,SS,3,47,Sed_NA_47,2023-07-21,July,2,1950,1.95,0.025,800,,NO3,800,sediment,6,8:17,14:26,6:09,1,,0.662,,0.662,N,0.330,0.012,0.270,1.4235,0.01743201032
SS_3m,SS,3,48,Sed_NA_48,2023-07-21,July,3,1970,1.97,0.025,800,,NO3,800,sediment,6,8:17,14:26,6:09,1,,0.602,,0.602,N,0.330,0.012,0.270,1.4381,0.01761080017
SS_3m,SS,3,49,Sed_NA_49,2023-07-21,July,1,2060,2.06,0.025,1600,,NO3,1600,sediment,6,8:20,14:37,6:17,2,,1.415,,1.415,N,0.330,0.012,0.270,1.5038,0.01841535449
SS_3m,SS,3,50,Sed_NA_50,2023-07-21,July,2,1980,1.98,0.025,1600,,NO3,1600,sediment,6,8:20,14:37,6:17,2,,1.467,,1.467,N,0.330,0.012,0.270,1.4454,0.0177001951
SS_3m,SS,3,51,Sed_NA_51,2023-07-21,July,3,2030,2.03,0.025,1600,,NO3,1600,sediment,6,8:20,14:37,6:17,2,,1.461,,1.461,N,0.330,0.012,0.270,1.4819,0.01814716972
SS_3m,SS,3,52,Sed_NA_52,2023-07-21,July,1,2040,2.04,0.025,2000,,NO3,2000,sediment,6,8:23,14:38,6:15,2,,1.87,,1.87,N,0.330,0.012,0.270,1.4892,0.01823656464
SS_3m,SS,3,53,Sed_NA_53,2023-07-21,July,2,1990,1.99,0.025,2000,,NO3,2000,sediment,6,8:23,14:38,6:15,2,,1.846,,1.846,N,0.330,0.012,0.270,1.4527,0.01778959002
SS_3m,SS,3,54,Sed_NA_54,2023-07-21,July,3,2030,2.03,0.025,2000,,NO3,2000,sediment,6,8:23,14:38,6:15,2,,1.888,,1.888,N,0.330,0.012,0.270,1.4819,0.01814716972
BW_10m,BW,10,55,Sed_NA_55,2023-07-21,July,1,2010,2.01,0.025,0,,NO3,0,sediment,6,8:08,14:16,6:08,1,,0.014,,0.014,N,0.950,0.042,0.398,1.21002,0.05063337771
BW_10m,BW,10,56,Sed_NA_56,2023-07-21,July,2,2050,2.05,0.025,0,,NO3,0,sediment,6,8:08,14:16,6:08,1,,0.007,,0.007,N,0.950,0.042,0.398,1.2341,0.05164100712
BW_10m,BW,10,57,Sed_NA_57,2023-07-21,July,3,1960,1.96,0.025,0,,NO3,0,sediment,6,8:08,14:16,6:08,1,,0.013,,0.013,N,0.950,0.042,0.398,1.17992,0.04937384095
BW_10m,BW,10,58,Sed_NA_58,2023-07-21,July,1,2040,2.04,0.025,100,,NO3,100,sediment,6,8:12,14:19,6:07,1,,0.059,,0.059,N,0.950,0.042,0.398,1.22808,0.05138909977
BW_10m,BW,10,59,Sed_NA_59,2023-07-21,July,2,2010,2.01,0.025,100,,NO3,100,sediment,6,8:12,14:19,6:07,1,,0.059,,0.059,N,0.950,0.042,0.398,1.21002,0.05063337771
BW_10m,BW,10,60,Sed_NA_60,2023-07-21,July,3,2010,2.01,0.025,100,,NO3,100,sediment,6,8:12,14:19,6:07,1,,0.055,,0.055,N,0.950,0.042,0.398,1.21002,0.05063337771
BW_10m,BW,10,61,Sed_NA_61,2023-07-21,July,1,2030,2.03,0.025,200,,NO3,200,sediment,6,8:15,14:22,6:07,1,,0.118,,0.118,N,0.950,0.042,0.398,1.22206,0.05113719242
BW_10m,BW,10,62,Sed_NA_62,2023-07-21,July,2,2000,2,0.025,200,,NO3,200,sediment,6,8:15,14:22,6:07,1,,0.119,,0.119,N,0.950,0.042,0.398,1.204,0.05038147036
BW_10m,BW,10,63,Sed_NA_63,2023-07-21,July,3,1970,1.97,0.025,200,,NO3,200,sediment,6,8:15,14:22,6:07,1,,0.119,,0.119,N,0.950,0.042,0.398,1.18594,0.0496257483
BW_10m,BW,10,64,Sed_NA_64,2023-07-21,July,1,1960,1.96,0.025,800,,NO3,800,sediment,6,8:18,14:32,6:14,2,,0.546,,0.546,N,0.950,0.042,0.398,1.17992,0.04937384095
BW_10m,BW,10,65,Sed_NA_65,2023-07-21,July,2,2030,2.03,0.025,800,,NO3,800,sediment,6,8:18,14:32,6:14,2,,0.566,,0.566,N,0.950,0.042,0.398,1.22206,0.05113719242
BW_10m,BW,10,66,Sed_NA_66,2023-07-21,July,3,1960,1.96,0.025,800,,NO3,800,sediment,6,8:18,14:32,6:14,2,,0.524,,0.524,N,0.950,0.042,0.398,1.17992,0.04937384095
BW_10m,BW,10,67,Sed_NA_67,2023-07-21,July,1,2070,2.07,0.025,1600,,NO3,1600,sediment,6,8:21,14:35,6:14,2,,1.353,,1.353,N,0.950,0.042,0.398,1.24614,0.05214482182
BW_10m,BW,10,68,Sed_NA_68,2023-07-21,July,2,2000,2,0.025,1600,,NO3,1600,sediment,6,8:21,14:35,6:14,2,,1.296,,1.296,N,0.950,0.042,0.398,1.204,0.05038147036
BW_10m,BW,10,69,Sed_NA_69,2023-07-21,July,3,1990,1.99,0.025,1600,,NO3,1600,sediment,6,8:21,14:35,6:14,2,,1.394,,1.394,N,0.950,0.042,0.398,1.19798,0.05012956301
BW_10m,BW,10,70,Sed_NA_70,2023-07-21,July,1,2010,2.01,0.025,2000,,NO3,2000,sediment,6,8:24,14:42,6:18,2,,1.69,,1.69,N,0.950,0.042,0.398,1.21002,0.05063337771
BW_10m,BW,10,71,Sed_NA_71,2023-07-21,July,2,1980,1.98,0.025,2000,,NO3,2000,sediment,6,8:24,14:42,6:18,2,,1.673,,1.673,N,0.950,0.042,0.398,1.19196,0.04987765566
BW_10m,BW,10,72,Sed_NA_72,2023-07-21,July,3,2010,2.01,0.025,2000,,NO3,2000,sediment,6,8:24,14:42,6:18,2,,1.642,,1.642,N,0.950,0.042,0.398,1.21002,0.05063337771
GB0.5m,GB,0.5,73,Sed_NA_73,2023-07-20,July,1,2030,2.03,0.025,0,,NO3,0,sediment,6,8:30,14:45,6:15,2,,0.035,,0.035,N,0.122,0.005,0.193,1.63821,0.008218795193
GB0.5m,GB,0.5,74,Sed_NA_74,2023-07-20,July,2,2080,2.08,0.025,0,,NO3,0,sediment,6,8:30,14:45,6:15,2,,0.023,,0.023,N,0.122,0.005,0.193,1.67856,0.008421228572
GB0.5m,GB,0.5,75,Sed_NA_75,2023-07-20,July,3,2030,2.03,0.025,0,,NO3,0,sediment,6,8:30,14:45,6:15,2,,0.04,,0.04,N,0.122,0.005,0.193,1.63821,0.008218795193
GB0.5m,GB,0.5,76,Sed_NA_76,2023-07-20,July,1,2050,2.05,0.025,100,,NO3,100,sediment,6,8:33,14:48,6:15,2,,0.147,,0.147,N,0.122,0.005,0.193,1.65435,0.008299768545
GB0.5m,GB,0.5,77,Sed_NA_77,2023-07-20,July,2,2000,2,0.025,100,,NO3,100,sediment,6,8:33,14:48,6:15,2,,0.14,,0.14,N,0.122,0.005,0.193,1.614,0.008097335166
GB0.5m,GB,0.5,78,Sed_NA_78,2023-07-20,July,3,2010,2.01,0.025,100,,NO3,100,sediment,6,8:33,14:48,6:15,2,,0.151,,0.151,N,0.122,0.005,0.193,1.62207,0.008137821841
GB0.5m,GB,0.5,79,Sed_NA_79,2023-07-20,July,1,1930,1.93,0.025,200,,NO3,200,sediment,6,8:35,14:50,6:15,3,,0.263,,0.263,N,0.122,0.005,0.193,1.55751,0.007813928435
GB0.5m,GB,0.5,80,Sed_NA_80,2023-07-20,July,2,2040,2.04,0.025,200,,NO3,200,sediment,6,8:35,14:50,6:15,3,,0.28,,0.28,N,0.122,0.005,0.193,1.64628,0.008259281869
GB0.5m,GB,0.5,81,Sed_NA_81,2023-07-20,July,3,2060,2.06,0.025,200,,NO3,200,sediment,6,8:35,14:50,6:15,3,,0.259,,0.259,N,0.122,0.005,0.193,1.66242,0.008340255221
GB0.5m,GB,0.5,82,Sed_NA_82,2023-07-20,July,1,1970,1.97,0.025,800,,NO3,800,sediment,6,8:38,14:56,6:18,3,,0.893,,0.893,N,0.122,0.005,0.193,1.58979,0.007975875138
GB0.5m,GB,0.5,83,Sed_NA_83,2023-07-20,July,2,2090,2.09,0.025,800,,NO3,800,sediment,6,8:38,14:56,6:18,3,,0.874,,0.874,N,0.122,0.005,0.193,1.68663,0.008461715248
GB0.5m,GB,0.5,84,Sed_NA_84,2023-07-20,July,3,2030,2.03,0.025,800,,NO3,800,sediment,6,8:38,14:56,6:18,3,,0.9,,0.9,N,0.122,0.005,0.193,1.63821,0.008218795193
GB0.5m,GB,0.5,85,Sed_NA_85,2023-07-20,July,1,2030,2.03,0.025,1600,,NO3,1600,sediment,6,8:40,15:00,6:20,3,,1.699,,1.699,N,0.122,0.005,0.193,1.63821,0.008218795193
GB0.5m,GB,0.5,86,Sed_NA_86,2023-07-20,July,2,1960,1.96,0.025,1600,,NO3,1600,sediment,6,8:40,15:00,6:20,3,,1.782,,1.782,N,0.122,0.005,0.193,1.58172,0.007935388462
GB0.5m,GB,0.5,87,Sed_NA_87,2023-07-20,July,3,1940,1.94,0.025,1600,,NO3,1600,sediment,6,8:40,15:00,6:20,3,,1.745,,1.745,N,0.122,0.005,0.193,1.56558,0.007854415111
GB0.5m,GB,0.5,88,Sed_NA_88,2023-07-20,July,1,2020,2.02,0.025,2000,,NO3,2000,sediment,6,8:42,15:02,6:20,3,,2.147,,2.147,N,0.122,0.005,0.193,1.63014,0.008178308517
GB0.5m,GB,0.5,89,Sed_NA_89,2023-07-20,July,2,1930,1.93,0.025,2000,,NO3,2000,sediment,6,8:42,15:02,6:20,3,,2.122,,2.122,N,0.122,0.005,0.193,1.55751,0.007813928435
GB0.5m,GB,0.5,90,Sed_NA_90,2023-07-20,July,3,2050,2.05,0.025,2000,,NO3,2000,sediment,6,8:42,15:02,6:20,3,,2.18,,2.18,N,0.122,0.005,0.193,1.65435,0.008299768545
GB_3m,GB,3,91,Sed_NA_91,2023-07-20,July,1,2090,2.09,0.025,0,,NO3,0,sediment,6,8:31,14:45,6:14,2,,0.022,,0.022,N,0.104,0.005,0.252,1.56332,0.007217476958
GB_3m,GB,3,92,Sed_NA_92,2023-07-20,July,2,1950,1.95,0.025,0,,NO3,0,sediment,6,8:31,14:45,6:14,2,,0.012,,0.012,N,0.104,0.005,0.252,1.4586,0.006734009602
GB_3m,GB,3,93,Sed_NA_93,2023-07-20,July,3,1990,1.99,0.025,0,,NO3,0,sediment,6,8:31,14:45,6:14,2,,0.013,,0.013,N,0.104,0.005,0.252,1.48852,0.006872143132
GB_3m,GB,3,94,Sed_NA_94,2023-07-20,July,1,2010,2.01,0.025,100,,NO3,100,sediment,6,8:33,14:47,6:14,2,,0.086,,0.086,N,0.104,0.005,0.252,1.50348,0.006941209897
GB_3m,GB,3,95,Sed_NA_95,2023-07-20,July,2,1920,1.92,0.025,100,,NO3,100,sediment,6,8:33,14:47,6:14,2,,0.081,,0.081,N,0.104,0.005,0.252,1.43616,0.006630409454
GB_3m,GB,3,96,Sed_NA_96,2023-07-20,July,3,2070,2.07,0.025,100,,NO3,100,sediment,6,8:33,14:47,6:14,2,,0.078,,0.078,N,0.104,0.005,0.252,1.54836,0.007148410193
GB_3m,GB,3,97,Sed_NA_97,2023-07-20,July,1,2070,2.07,0.025,200,,NO3,200,sediment,6,8:36,14:53,6:17,3,,0.2,,0.2,N,0.104,0.005,0.252,1.54836,0.007148410193
GB_3m,GB,3,98,Sed_NA_98,2023-07-20,July,2,2080,2.08,0.025,200,,NO3,200,sediment,6,8:36,14:53,6:17,3,,0.191,,0.191,N,0.104,0.005,0.252,1.55584,0.007182943575
GB_3m,GB,3,99,Sed_NA_99,2023-07-20,July,3,1930,1.93,0.025,200,,NO3,200,sediment,6,8:36,14:53,6:17,3,,0.196,,0.196,N,0.104,0.005,0.252,1.44364,0.006664942836
GB_3m,GB,3,100,Sed_NA_100,2023-07-20,July,1,2000,2,0.025,800,,NO3,800,sediment,6,8:38,15:04,6:26,3,,0.811,,0.811,N,0.104,0.005,0.252,1.496,0.006906676514
GB_3m,GB,3,101,Sed_NA_101,2023-07-20,July,2,1960,1.96,0.025,800,,NO3,800,sediment,6,8:38,15:04,6:26,3,,0.791,,0.791,N,0.104,0.005,0.252,1.46608,0.006768542984
GB_3m,GB,3,102,Sed_NA_102,2023-07-20,July,3,2040,2.04,0.025,800,,NO3,800,sediment,6,8:38,15:04,6:26,3,,0.791,,0.791,N,0.104,0.005,0.252,1.52592,0.007044810045
GB_3m,GB,3,103,Sed_NA_103,2023-07-20,July,1,2010,2.01,0.025,1600,,NO3,1600,sediment,6,8:40,14:59,6:19,3,,1.653,,1.653,N,0.104,0.005,0.252,1.50348,0.006941209897
GB_3m,GB,3,104,Sed_NA_104,2023-07-20,July,2,2080,2.08,0.025,1600,,NO3,1600,sediment,6,8:40,14:59,6:19,3,,1.65,,1.65,N,0.104,0.005,0.252,1.55584,0.007182943575
GB_3m,GB,3,105,Sed_NA_105,2023-07-20,July,3,2090,2.09,0.025,1600,,NO3,1600,sediment,6,8:40,14:59,6:19,3,,1.687,,1.687,N,0.104,0.005,0.252,1.56332,0.007217476958
GB_3m,GB,3,106,Sed_NA_106,2023-07-20,July,1,2090,2.09,0.025,2000,,NO3,2000,sediment,6,8:42,15:05,6:23,4,,2.015,,2.015,N,0.104,0.005,0.252,1.56332,0.007217476958
GB_3m,GB,3,107,Sed_NA_107,2023-07-20,July,2,2030,2.03,0.025,2000,,NO3,2000,sediment,6,8:42,15:05,6:23,4,,2,,2,N,0.104,0.005,0.252,1.51844,0.007010276662
GB_3m,GB,3,108,Sed_NA_108,2023-07-20,July,3,2090,2.09,0.025,2000,,NO3,2000,sediment,6,8:42,15:05,6:23,4,,2.071,,2.071,N,0.104,0.005,0.252,1.56332,0.007217476958
SH_3m,SH,3,109,Sed_NA_109,2023-07-20,July,1,2050,2.05,0.025,0,,NO3,0,sediment,6,8:31,14:47,6:16,2,,0.019,,0.019,N,0.438,0.018,0.220,1.599,0.029527416
SH_3m,SH,3,110,Sed_NA_110,2023-07-20,July,2,1940,1.94,0.025,0,,NO3,0,sediment,6,8:31,14:47,6:16,2,,0.016,,0.016,N,0.438,0.018,0.220,1.5132,0.02794301807
SH_3m,SH,3,111,Sed_NA_111,2023-07-20,July,3,2000,2,0.025,0,,NO3,0,sediment,6,8:31,14:47,6:16,2,,0.013,,0.013,N,0.438,0.018,0.220,1.56,0.02880723512
SH_3m,SH,3,112,Sed_NA_112,2023-07-20,July,1,2010,2.01,0.025,100,,NO3,100,sediment,6,8:34,14:50,6:16,3,,0.106,,0.106,N,0.438,0.018,0.220,1.5678,0.0289512713
SH_3m,SH,3,113,Sed_NA_113,2023-07-20,July,2,1980,1.98,0.025,100,,NO3,100,sediment,6,8:34,14:50,6:16,3,,0.105,,0.105,N,0.438,0.018,0.220,1.5444,0.02851916277
SH_3m,SH,3,114,Sed_NA_114,2023-07-20,July,3,2020,2.02,0.025,100,,NO3,100,sediment,6,8:34,14:50,6:16,3,,0.145,,0.145,N,0.438,0.018,0.220,1.5756,0.02909530747
SH_3m,SH,3,115,Sed_NA_115,2023-07-20,July,1,1950,1.95,0.025,200,,NO3,200,sediment,6,8:37,14:53,6:16,3,,0.215,,0.215,N,0.438,0.018,0.220,1.521,0.02808705424
SH_3m,SH,3,116,Sed_NA_116,2023-07-20,July,2,1960,1.96,0.025,200,,NO3,200,sediment,6,8:37,14:53,6:16,3,,0.203,,0.203,N,0.438,0.018,0.220,1.5288,0.02823109042
SH_3m,SH,3,117,Sed_NA_117,2023-07-20,July,3,1980,1.98,0.025,200,,NO3,200,sediment,6,8:37,14:53,6:16,3,,0.209,,0.209,N,0.438,0.018,0.220,1.5444,0.02851916277
SH_3m,SH,3,118,Sed_NA_118,2023-07-20,July,1,2020,2.02,0.025,800,,NO3,800,sediment,6,8:39,14:58,6:19,3,,0.813,,0.813,N,0.438,0.018,0.220,1.5756,0.02909530747
SH_3m,SH,3,119,Sed_NA_119,2023-07-20,July,2,2070,2.07,0.025,800,,NO3,800,sediment,6,8:39,14:58,6:19,3,,0.754,,0.754,N,0.438,0.018,0.220,1.6146,0.02981548835
SH_3m,SH,3,120,Sed_NA_120,2023-07-20,July,3,2090,2.09,0.025,800,,NO3,800,sediment,6,8:39,14:58,6:19,3,,0.753,,0.753,N,0.438,0.018,0.220,1.6302,0.0301035607
SH_3m,SH,3,121,Sed_NA_121,2023-07-20,July,1,1940,1.94,0.025,1600,,NO3,1600,sediment,6,8:41,15:04,6:23,3,,1.551,,1.551,N,0.438,0.018,0.220,1.5132,0.02794301807
SH_3m,SH,3,122,Sed_NA_122,2023-07-20,July,2,2070,2.07,0.025,1600,,NO3,1600,sediment,6,8:41,15:04,6:23,3,,1.651,,1.651,N,0.438,0.018,0.220,1.6146,0.02981548835
